,house_type,price,Hydro,Water,Heat,smoke,outdor_space,air_conditioning,appliances,furnished,pet_friendly,parking,size_S/Q,wifi_more,Bathrooms,Bedrooms
601,House,"$4,000",Not Included,Not Included,Not Included,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,"2,000",['Not Included'],[' 2'],[' 3 + Den']
602,Condo,"$2,000",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,866,['Not Included'],[' 2'],[' 2']
603,Condo,"$3,850",Yes,Yes,Yes,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Limited,1,996,"['Cable / TV', 'Internet']",[' 2'],[' 2']
604,Apartment,"$1,300",No,Yes,No,No,Not Included,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,Limited,1,830,['Not Included'],[' 1'],[' 2']
605,House,"$2,650",Not Included,Not Included,Not Included,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,2,"2,400",['Not Included'],[' 2'],[' 3']
606,Apartment,"$1,550",Yes,Yes,Yes,No,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,650,['Not Included'],[' 1'],[' 1']
607,Duplex/Triplex,"$1,500",Not Included,Not Included,Not Included,Outdoors only,Yard,No,['Not Included'],No,Limited,2,"1,200",['Not Included'],[' 1'],[' 3']
608,Apartment,"$1,250",Not Included,Not Included,Not Included,No,Not Included,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,No,2,700,['Not Included'],[' 1'],[' 2']
609,Condo,"$2,000",Not Included,Not Included,Not Included,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,1,800,['Internet'],[' 2'],[' 2']
610,House,"$2,600",Not Included,Not Included,Not Included,No,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,3+,900,['Internet'],[' 2'],[' 3']
611,Basement,"$1,100",Yes,Yes,Yes,No,Yard,Yes,['Fridge / Freezer'],No,No,1,"1,100",['Not Included'],[' 1'],[' 2']
612,Condo,"$1,675",No,Yes,Yes,No,Yard,No,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,700,['Not Included'],[' 1'],[' 1']
613,Condo,"$2,600",No,Yes,No,No,Balcony,Yes,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,1,635,['Not Included'],[' 1'],[' 1']
614,Basement,"$1,500",Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,1,1,['Not Included'],[' 1'],[' 2']
615,House,"$1,200",Not Included,Not Included,Not Included,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,"1,200",['Not Included'],[' 1'],[' 2 + Den']
616,Condo,"$2,200",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,1,970,['Not Included'],[' 2'],[' 2 + Den']
617,House,"$1,700",Not Included,Not Included,Not Included,No,Yard,No,['Laundry (In Unit)'],No,No,1,"1,600",['Not Included'],[' 2.5'],[' 4']
618,Basement,"$1,650",Yes,Yes,Yes,No,Not Included,Yes,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,1,"1,000",['Internet'],[' 1'],[' 2']
619,Apartment,"$2,450",No,Yes,No,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,800,['Not Included'],[' 2'],[' 2']
620,Apartment,"$1,600",No,Yes,Yes,No,Balcony,No,['Laundry (In Building)'],No,Yes,1,600,['Not Included'],[' 1'],[' 1']
621,House,"$5,490",No,Yes,No,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,2,"3,000",['Not Included'],[' 3.5'],[' 5+']
622,Condo,"$1,980",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,900,['Not Included'],[' 2'],[' 2']
623,Condo,"$1,300",No,Yes,Yes,Outdoors only,Balcony,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,Limited,1,"1,000",['Not Included'],[' 1'],[' 2']
624,House,"$3,000",Not Included,Not Included,Not Included,No,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,3+,"2,039",['Not Included'],[' 3'],[' 5+']
625,Duplex/Triplex,$950,Not Included,Not Included,Not Included,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,1,200,['Not Included'],[' 1'],[' 1']
626,Apartment,"$2,095",No,Yes,No,No,Not Included,No,"['Laundry (In Unit)', 'Dishwasher']",No,No,0,"1,009",['Not Included'],[' 2'],[' 2 + Den']
627,Apartment,"$1,648",No,Yes,No,No,Not Included,No,['Not Included'],No,Yes,0,934,['Not Included'],[' 2'],[' 2']
628,Apartment,"$1,850",No,Yes,Yes,No,Balcony,No,['Laundry (In Building)'],No,No,0,689,['Not Included'],[' 1'],[' 1']
629,House,"$2,600",Not Included,Not Included,Not Included,No,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,3+,900,['Not Included'],[' 2'],[' 3']
630,Condo,"$3,300",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,898,['Not Included'],[' 2'],[' 2']
631,Apartment,"$2,145",No,Yes,No,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Fridge / Freezer']",No,Yes,0,892,"['Cable / TV', 'Internet']",[' 2'],[' 2']
632,Apartment,"$2,395",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,793,['Not Included'],[' 2'],[' 2']
633,Condo,"$2,100",No,Yes,No,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Limited,1,"1,394","['Cable / TV', 'Internet']",[' 2.5'],[' 2']
