,house_type,price,Hydro,Water,Heat,smoke,outdor_space,air_conditioning,appliances,furnished,pet_friendly,parking,size_S/Q,wifi_more,Bathrooms,Bedrooms
1085,Apartment,"$4,087",No,Yes,Yes,No,Not Included,No,['Laundry (In Building)'],No,Yes,0,"1,000",['Not Included'],[' 1'],[' 2']
1086,Condo,"$2,295",No,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,1,550,['Not Included'],[' 1'],[' 1']
1087,Townhouse,"$2,150",Not Included,Not Included,Not Included,No,Not Included,No,['Laundry (In Unit)'],No,Yes,1,"1,426",['Not Included'],[' 2'],[' 3']
1088,Duplex/Triplex,"$1,600",Not Included,Not Included,Not Included,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,2,Not Available,['Not Included'],[' 3'],[' 3']
1089,House,"$2,800",No,Yes,No,No,Yard,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,No,3+,"2,000",['Not Included'],[' 2'],[' 2 + Den']
1090,Condo,"$1,850",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,Limited,2,"1,250",['Not Included'],[' 1'],[' 2 + Den']
1091,Apartment,"$2,997",No,No,Yes,No,Not Included,No,['Laundry (In Building)'],No,Yes,0,900,['Not Included'],[' 1'],[' 2']
1092,Apartment,"$4,584",No,Yes,Yes,No,Not Included,No,['Laundry (In Building)'],No,Yes,0,"1,600",['Not Included'],[' 1'],[' 3']
1093,Apartment,"$3,688",No,No,Yes,No,Not Included,No,['Laundry (In Building)'],No,Yes,0,"1,300",['Not Included'],[' 1'],[' 2']
1094,Townhouse,"$1,250",Yes,Yes,Yes,No,Yard,Yes,"['Laundry (In Unit)', 'Fridge / Freezer']",Yes,No,0,200,['Internet'],[' 1'],[' Bachelor/Studio']
1095,Apartment,"$3,807",No,No,Yes,No,Not Included,No,['Laundry (In Building)'],No,Yes,0,"1,500",['Not Included'],[' 1'],[' 3']
1096,Condo,"$1,450",Yes,Yes,Yes,Outdoors only,Balcony,No,"['Laundry (In Building)', 'Fridge / Freezer']",Yes,No,1,600,"['Cable / TV', 'Internet']",[' 1'],[' 1']
1097,Apartment,"$2,055",No,No,Yes,No,Not Included,No,['Laundry (In Building)'],No,Yes,0,650,['Not Included'],[' 1'],[' 1']
1098,Apartment,"$2,361",No,No,Yes,No,Not Included,No,['Laundry (In Building)'],No,Yes,0,700,['Not Included'],[' 1'],[' 1']
1099,Apartment,"$1,999",No,No,Yes,No,Not Included,No,['Laundry (In Building)'],No,Yes,0,500,['Not Included'],[' 1'],[' 1']
1100,Apartment,"$1,951",No,No,Yes,No,Not Included,No,['Laundry (In Building)'],No,Yes,0,473,['Not Included'],[' 1'],[' Bachelor/Studio']
1101,Apartment,"$2,131",No,Yes,Yes,No,Not Included,No,['Laundry (In Building)'],No,Yes,0,500,['Not Included'],[' 1'],[' Bachelor/Studio']
1102,House,"$2,200",Not Included,Not Included,Not Included,Outdoors only,Not Included,No,['Not Included'],No,No,2,Not Available,['Not Included'],[' 3'],[' 4']
1103,Apartment,"$1,790",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' 2']
1104,Apartment,"$1,315",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,No,0,Not Available,['Not Included'],[' 1'],[' Bachelor/Studio']
1105,Apartment,"$1,934",No,No,Yes,No,Not Included,No,['Laundry (In Building)'],No,Yes,0,440,['Not Included'],[' 1'],[' Bachelor/Studio']
1106,Apartment,"$2,061",No,No,Yes,No,Not Included,No,['Laundry (In Building)'],No,Yes,0,575,['Not Included'],[' 1'],[' 1']
1107,Apartment,$700,No,No,Yes,Outdoors only,Balcony,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,1,Not Available,['Not Included'],[' 1'],[' 1']
1108,Apartment,"$1,000",No,Yes,No,No,Balcony,No,['Laundry (In Building)'],No,No,1,800,['Not Included'],[' 1'],[' 1']
1109,House,"$1,600",Not Included,Not Included,Not Included,Not Available,Not Included,Not Available,['Not Included'],No,No,Not Available,Not Available,['Not Included'],[' 1.5'],[' 3']
1110,Apartment,"$1,250",No,Yes,Yes,No,Yard,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,737,['Not Included'],[' 1'],[' 1']
1111,Apartment,"$1,190",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,No,0,Not Available,['Not Included'],[' 1'],[' Bachelor/Studio']
1112,House,"$2,000",Not Included,Not Included,Not Included,Not Available,Not Included,Not Available,['Not Included'],No,Yes,Not Available,Not Available,['Not Included'],[' 2.5'],[' 3']
1113,House,"$2,600",Not Included,Not Included,Not Included,Outdoors only,Yard,Yes,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,3+,"2,500",['Not Included'],[' 2.5'],[' 4']
1114,Townhouse,"$3,500",Not Included,Not Included,Not Included,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,2,"1,350",['Not Included'],[' 2.5'],[' 3']
1115,Condo,"$2,100",Not Included,Not Included,Not Included,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,545,['Not Included'],[' 1'],[' 1']
1116,House,"$2,700",No,Yes,No,Outdoors only,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Limited,2,"1,400",['Not Included'],[' 2'],[' 3']
1117,Apartment,"$2,000",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,835,['Not Included'],[' 2'],[' 2']
1118,Basement,"$1,500",Not Included,Not Included,Not Included,No,Not Included,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,0,850,['Not Included'],[' 1'],[' 2']
1119,House,"$2,275",Not Included,Not Included,Not Included,Outdoors only,Yard,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,2,"1,200",['Not Included'],[' 2'],[' 3']
1120,Apartment,"$2,395",Yes,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,1,608,['Internet'],[' 1'],[' 1 + Den']
1121,Basement,"$2,290",Yes,Yes,Yes,No,Yard,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,0,"1,105",['Not Included'],[' 1'],[' 2 + Den']
1122,House,"$3,500",Not Included,Not Included,Not Included,No,Yard,No,['Not Included'],No,Limited,3+,"2,000",['Not Included'],[' 2'],[' 3']
1123,Condo,"$2,200",Not Included,Not Included,Not Included,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher']",No,No,1,780,['Not Included'],[' 2'],[' 2']
1124,Apartment,"$2,750",Not Included,Not Included,Not Included,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Limited,1,839,['Internet'],[' 2'],[' 2']
1125,Apartment,"$1,720",No,Yes,No,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,886,['Internet'],[' 2'],[' 2']
1126,Basement,"$1,400",Yes,Yes,Yes,No,Balcony,No,['Laundry (In Building)'],No,No,1,900,"['Cable / TV', 'Internet']",[' 1'],[' 2']
1127,Apartment,$795,Yes,Yes,Yes,Yes,Not Included,No,['Laundry (In Building)'],Yes,Yes,3+,320,"['Cable / TV', 'Internet']",[' 1'],[' Bachelor/Studio']
1128,Apartment,"$2,250",No,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,766,['Not Included'],[' 1.5'],[' 2']
1129,Condo,"$3,300",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,898,['Not Included'],[' 2'],[' 2']
1130,Basement,"$1,900",Yes,Yes,Yes,No,Yard,No,"['Laundry (In Unit)', 'Fridge / Freezer']",Yes,No,1,"1,000","['Cable / TV', 'Internet']",[' 2'],[' 2']
1131,Condo,"$1,900",No,Yes,No,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,600,['Not Included'],[' 1'],[' 1 + Den']
1132,Basement,"$1,000",Yes,Yes,Yes,No,Yard,Yes,['Fridge / Freezer'],No,No,1,700,['Not Included'],[' 1'],[' 1']
1133,Basement,"$1,500",Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,No,0,660,['Cable / TV'],[' 1'],[' 2']
1134,Condo,"$3,500",Yes,Yes,Yes,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,1,653,['Internet'],[' 1'],[' 1 + Den']
1135,Basement,$750,No,Yes,No,No,Not Included,No,"['Laundry (In Building)', 'Fridge / Freezer']",Yes,No,1,"1,200",['Cable / TV'],[' 1'],[' 1']
1136,Basement,$730,Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,No,0,500,['Internet'],[' 1'],[' Bachelor/Studio']
1137,House,"$1,200",Yes,Yes,Yes,No,Yard,No,['Fridge / Freezer'],No,No,2,800,['Internet'],[' 2'],[' 2']
1138,Condo,"$1,950",Yes,Yes,Yes,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,1,"1,000","['Cable / TV', 'Internet']",[' 1'],[' 2 + Den']
1139,Apartment,"$1,785",No,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,Not Available,['Not Included'],[' 1'],[' 1']
1140,Apartment,"$1,400",No,Yes,Yes,No,Balcony,No,['Laundry (In Building)'],No,Yes,0,623,['Not Included'],[' 1'],[' 1']
1141,Apartment,"$1,730",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' 1']
1142,Apartment,$795,Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,Limited,1,Not Available,['Not Included'],[' 1'],[' 2']
1143,Basement,$795,Not Included,Not Included,Not Included,Outdoors only,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,Not Available,['Not Included'],[' 1'],[' 2']
1144,Apartment,"$1,780",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' 2']
1145,Townhouse,"$1,250",Yes,Yes,Yes,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Yes,0,"1,207","['Cable / TV', 'Internet']",[' 2'],[' 3 + Den']
1146,Condo,"$2,250",Not Included,Not Included,Not Included,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Yes,1,590,['Not Included'],[' 1'],[' 1']
1147,Condo,"$2,250",Not Included,Not Included,Not Included,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Yes,1,590,['Not Included'],[' 1'],[' 1']
1148,Apartment,"$4,000",Not Included,Not Included,Not Included,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,900,['Not Included'],[' 2'],[' 2']
1149,Apartment,Please Contact,No,Yes,Yes,Outdoors only,Balcony,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,No,1,675,['Cable / TV'],[' 1'],[' 1']
1150,Apartment,"$1,050",Yes,Yes,Yes,Outdoors only,Yard,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,Limited,1,300,['Internet'],[' 1'],[' Bachelor/Studio']
1151,Apartment,$850,Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,No,0,146,['Internet'],[' 6+'],[' Bachelor/Studio']
1152,Townhouse,"$1,850",No,Yes,No,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,2,600,['Not Included'],[' 1.5'],[' 3']
1153,Basement,"$1,250",Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Unit)', 'Laundry (In Building)', 'Fridge / Freezer']",Yes,No,0,750,['Internet'],[' 1'],[' 1']
1154,Basement,"$1,800",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,850,['Not Included'],[' 1'],[' 2']
1155,Apartment,"$1,700",Yes,Yes,Yes,No,Balcony,Yes,['Laundry (In Unit)'],Yes,No,1,839,['Not Included'],[' 1'],[' 1']
1156,Duplex/Triplex,"$1,800",No,Yes,No,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,3+,"2,000",['Not Included'],[' 2'],[' 4 + Den']
1157,House,"$2,000",Not Included,Not Included,Not Included,No,Not Included,No,"['Laundry (In Unit)', 'Fridge / Freezer']",Yes,No,3+,900,['Not Included'],[' 1'],[' 2']
1158,Apartment,"$2,000",No,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,Limited,1,700,['Not Included'],[' 1'],[' 2']
1159,Condo,"$2,000",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,0,520,['Internet'],[' 1'],[' 1 + Den']
1160,House,"$1,650",Not Included,Not Included,Not Included,Outdoors only,Not Included,No,['Not Included'],Yes,Limited,1,Not Available,['Not Included'],[' 2.5'],[' 3']
1161,House,"$2,300",No,Yes,No,No,Yard,Yes,"['Laundry (In Unit)', 'Fridge / Freezer']",Yes,No,3+,"1,500",['Not Included'],[' 2'],[' 2']
1162,Duplex/Triplex,"$2,000",Not Included,Not Included,Not Included,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,2,Not Available,['Not Included'],[' 2.5'],[' 3']
1163,House,"$1,200",Yes,Yes,Yes,No,Yard,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,Limited,0,350,['Not Included'],[' 1'],[' Bachelor/Studio']
1164,Apartment,"$1,350",No,Yes,No,No,Balcony,Yes,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,0,"1,200",['Not Included'],[' 1'],[' 2']
1165,House,"$1,300",Not Included,Not Included,Not Included,No,Not Included,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,682,['Not Included'],[' 1'],[' 1']
1166,Apartment,"$2,500",No,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Yes,1,800,['Not Included'],[' 2'],[' 2']
1167,House,$950,Yes,Yes,Yes,No,Not Included,Yes,['Fridge / Freezer'],No,No,1,325,['Internet'],[' 1'],[' Bachelor/Studio']
1168,House,$750,Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Building)', 'Fridge / Freezer']",Yes,No,0,130,['Internet'],[' 1'],[' 1']
1169,House,"$4,500",Not Included,Not Included,Not Included,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Limited,3+,"4,500",['Not Included'],[' 6+'],[' 5+']
1170,Apartment,"$2,250",No,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,766,['Not Included'],[' 1.5'],[' 2']
1171,Apartment,$795,Yes,Yes,Yes,Yes,Not Included,No,['Laundry (In Building)'],Yes,Yes,3+,320,"['Cable / TV', 'Internet']",[' 1'],[' Bachelor/Studio']
1172,Apartment,"$2,145",No,Yes,No,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Fridge / Freezer']",No,Yes,0,892,"['Cable / TV', 'Internet']",[' 2'],[' 2']
1173,Apartment,"$1,898",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,554,['Not Included'],[' 1'],[' 1']
1174,Basement,"$1,400",Yes,Yes,Yes,No,Balcony,No,['Laundry (In Building)'],No,No,1,900,"['Cable / TV', 'Internet']",[' 1'],[' 2']
1175,Basement,"$1,580",Yes,Yes,Yes,No,Not Included,Yes,"['Laundry (In Building)', 'Fridge / Freezer']",No,No,0,750,['Internet'],[' 1'],[' 2']
1176,Condo,"$1,600",No,Yes,No,No,Balcony,No,['Laundry (In Unit)'],No,No,1,630,['Not Included'],[' 1'],[' 1 + Den']
1177,Condo,"$1,950",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,844,['Not Included'],[' 2'],[' 2']
1178,Apartment,"$1,955",No,Yes,No,No,Not Included,No,['Not Included'],No,No,0,749,['Not Included'],[' 2'],[' 2']
1179,Condo,"$2,200",No,Yes,No,No,Balcony,Yes,['Laundry (In Unit)'],No,No,1,847,['Not Included'],[' 2'],[' 2']
1180,Apartment,"$2,050",No,Yes,Yes,No,Not Included,No,['Laundry (In Building)'],No,Yes,1,900,['Not Included'],[' 1'],[' 2']
1181,Condo,"$1,695",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,505,['Not Included'],[' 1'],[' 1']
1182,Condo,"$1,400",No,Yes,No,No,Balcony,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,No,1,720,['Not Included'],[' 1'],[' 2 + Den']
1183,House,"$1,500",Yes,Yes,Yes,No,Yard,No,"['Laundry (In Building)', 'Fridge / Freezer']",Yes,No,0,550,['Internet'],[' 1'],[' 1']
1184,House,Please Contact,Yes,Yes,Yes,No,Yard,No,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,2,"1,468","['Cable / TV', 'Internet']",[' 2'],[' 4']
1185,Basement,"$1,500",Yes,Yes,Yes,No,Yard,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,No,0,720,['Not Included'],[' 1'],[' 1 + Den']
1186,Condo,"$2,750",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,885,['Not Included'],[' 2'],[' 2']
1187,House,Please Contact,Yes,Yes,Yes,No,Yard,No,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,2,"1,468","['Cable / TV', 'Internet']",[' 2'],[' 4']
1188,Apartment,"$2,036",No,Yes,No,No,Not Included,No,['Laundry (In Building)'],No,Yes,0,575,['Not Included'],[' 1'],[' 1']
1189,Apartment,"$1,825",No,Yes,Yes,No,Balcony,No,['Laundry (In Building)'],No,No,0,644,['Not Included'],[' 1'],[' 1']
1190,Apartment,"$1,950",No,Yes,No,No,Not Included,No,['Laundry (In Building)'],No,Yes,0,435,['Not Included'],[' 1'],[' 1']
1191,Apartment,"$1,450",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' 1']
1192,Condo,"$1,680",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,1,650,['Internet'],[' 1'],[' 1']
1193,Apartment,"$1,450",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' Bachelor/Studio']
1194,Apartment,"$1,450",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' 1']
1195,Apartment,"$1,370",No,Yes,No,No,Not Included,No,"['Laundry (In Building)', 'Dishwasher']",No,No,0,633,['Not Included'],[' 1'],[' 1']
1196,Apartment,"$1,550",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' 2']
1197,Apartment,"$3,250",Yes,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Yes,1,850,['Internet'],[' 2'],[' 2']
1198,Apartment,Please Contact,No,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,995,['Not Included'],[' 2'],[' 2']
1199,Apartment,"$1,980",Yes,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,0,580,"['Cable / TV', 'Internet']",[' 1'],[' 1']
1200,Basement,"$1,400",Yes,Yes,Yes,No,Yard,No,"['Laundry (In Unit)', 'Laundry (In Building)', 'Fridge / Freezer']",Yes,No,1,900,['Internet'],[' 1'],[' 1 + Den']
1201,Basement,"$1,300",Yes,Yes,Yes,Outdoors only,Balcony,Yes,['Fridge / Freezer'],No,No,2,"1,000",['Internet'],[' 1'],[' 2']
1202,Basement,"$1,800",Yes,Yes,Yes,No,Yard,No,['Laundry (In Unit)'],No,No,1,900,"['Cable / TV', 'Internet']",[' 1'],[' 2']
1203,Basement,"$1,550",No,Yes,No,No,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,0,"1,200",['Not Included'],[' 1'],[' 2']
1204,Apartment,"$1,500",No,Yes,No,Outdoors only,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,850,['Not Included'],[' 1'],[' 2']
1205,Apartment,"$1,500",No,Yes,No,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,500,['Internet'],[' 1'],[' 1']
1206,House,Please Contact,Yes,Yes,Yes,Outdoors only,Yard,No,"['Laundry (In Building)', 'Fridge / Freezer']",Yes,Yes,2,"1,300",['Internet'],[' 1'],[' 2']
1207,House,Please Contact,Not Included,Not Included,Not Included,Outdoors only,Yard,No,['Not Included'],No,Yes,3+,720,['Not Included'],[' 2'],[' 2']
1208,Apartment,"$1,850",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Building)', 'Fridge / Freezer']",Yes,Limited,1,"1,100",['Not Included'],[' 1'],[' 2']
1209,Apartment,"$1,795",No,Yes,No,No,Balcony,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,Limited,0,530,['Not Included'],[' 1'],[' 2']
1210,Condo,"$2,400",Yes,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Limited,1,650,['Internet'],[' 1'],[' 1 + Den']
1211,Basement,"$1,400",Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,No,2,800,['Not Included'],[' 1'],[' 1']
1212,House,"$3,700",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,2,"2,500",['Not Included'],[' 2'],[' 5+']
1213,House,"$3,700",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,2,"2,500",['Not Included'],[' 3'],[' 5+']
1214,Apartment,"$1,995",Not Included,Not Included,Not Included,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,Not Available,['Not Included'],[' 1'],[' 1']
1215,Apartment,$995,Yes,Yes,Yes,No,Not Included,Yes,['Laundry (In Building)'],Yes,No,0,315,['Internet'],[' 1'],[' Bachelor/Studio']
1216,Apartment,"$1,898",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,554,['Not Included'],[' 1'],[' 1']
1217,Basement,"$1,100",Yes,Yes,Yes,No,Not Included,No,['Fridge / Freezer'],No,No,0,500,['Internet'],[' 1'],[' 1']
1218,Apartment,"$2,250",No,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,766,['Not Included'],[' 1.5'],[' 2']
1219,Apartment,$795,Yes,Yes,Yes,Yes,Not Included,No,['Laundry (In Building)'],Yes,Yes,3+,320,"['Cable / TV', 'Internet']",[' 1'],[' Bachelor/Studio']
1220,Apartment,"$1,650",Not Included,Not Included,Not Included,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,Not Available,['Not Included'],[' 1'],[' Bachelor/Studio']
1221,House,"$1,485",Not Included,Not Included,Not Included,No,Yard,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,No,0,Not Available,['Not Included'],[' 1'],[' 2']
1222,House,"$1,760",Not Included,Not Included,Not Included,No,Yard,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,No,0,Not Available,['Not Included'],[' 1.5'],[' 3']
1223,Apartment,"$1,700",No,Yes,Yes,No,Not Included,No,['Fridge / Freezer'],No,Yes,0,646,['Not Included'],[' 1'],[' 2']
1224,Apartment,"$1,797",No,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,788,['Not Included'],[' 1'],[' 1']
1225,Apartment,"$1,700",No,Yes,Yes,No,Not Included,No,['Fridge / Freezer'],No,Yes,0,693,['Not Included'],[' 1'],[' 2']
1226,Apartment,"$1,425",No,Yes,Yes,No,Not Included,No,['Fridge / Freezer'],No,Yes,0,479,['Not Included'],[' 1'],[' 1']
1227,Apartment,"$1,707",Not Included,Not Included,Not Included,No,Balcony,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,744,['Not Included'],[' 1'],[' 1']
1228,Apartment,"$1,425",No,Yes,Yes,No,Not Included,No,['Fridge / Freezer'],No,Yes,0,479,['Not Included'],[' 1'],[' 1']
1229,Apartment,"$1,270",No,Yes,No,No,Not Included,No,['Fridge / Freezer'],No,Yes,0,675,['Not Included'],[' 1'],[' 1']
1230,Apartment,"$1,750",No,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,950,['Not Included'],[' 1'],[' 3']
1231,Apartment,"$1,550",No,Yes,No,No,Balcony,Yes,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,930,['Not Included'],[' 1'],[' 2']
1232,Apartment,"$1,270",No,Yes,No,No,Balcony,Yes,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,700,['Not Included'],[' 1'],[' 1']
1233,Apartment,"$2,000",No,Yes,Yes,No,Not Included,No,['Fridge / Freezer'],No,Yes,0,"1,188",['Not Included'],[' 1'],[' 3']
1234,Apartment,"$1,025",No,Yes,No,No,Yard,No,['Fridge / Freezer'],No,Yes,0,334,['Not Included'],[' 1'],[' Bachelor/Studio']
1235,Apartment,"$1,550",No,Yes,Yes,No,Not Included,No,['Fridge / Freezer'],No,Yes,0,864,['Not Included'],[' 1'],[' 2']
1236,Apartment,"$1,025",No,Yes,Yes,No,Not Included,No,['Fridge / Freezer'],No,Yes,0,486,['Not Included'],[' 1'],[' Bachelor/Studio']
1237,Apartment,"$1,250",No,Yes,Yes,No,Yard,No,['Fridge / Freezer'],No,Yes,0,510,['Not Included'],[' 1'],[' Bachelor/Studio']
1238,Apartment,"$1,800",No,Yes,Yes,No,Not Included,No,['Fridge / Freezer'],No,Yes,0,900,['Not Included'],[' 1'],[' 3']
